country;iso;concept;conceptAbbr;year;Value
Sweden;SWE;#BBP;BBP;2015;0.367672053
Austria;AUT;#CI;CI;2005;0.224319137
Azerbaijan;AZE;#CI;CI;2005;0.686756053
Albania;ALB;#CI;CI;2005;0.224319137
Belgium;BEL;#CI;CI;2005;0.527416001
Belarus;BLR;#CI;CI;2005;0.527416001
Bulgaria;BGR;#CI;CI;2005;0.224319137
Bosnia and Herzegovina;BIH;#CI;CI;2005;0.527416001
United Kingdom;GBR;#CI;CI;2005;0.686756053
Armenia;ARM;#CI;CI;2005;0.686756053
Greece;GRC;#CI;CI;2005;0.527416001
Georgia;GEO;#CI;CI;2005;0.686756053
Denmark;DNK;#CI;CI;2005;0.527416001
Estonia;EST;#CI;CI;2005;0.686756053
Ireland;IRL;#CI;CI;2005;0.224319137
Iceland;ISL;#CI;CI;2005;0.224319137
Spain;ESP;#CI;CI;2005;0.686756053
Italy;ITA;#CI;CI;2005;0.362287685
Cyprus;CYP;#CI;CI;2005;0.527416001
Latvia;LVA;#CI;CI;2005;0.527416001
Lithuania;LTU;#CI;CI;2005;0.224319137
Luxembourg;LUX;#CI;CI;2005;0.224319137
Moldova, Republic of;MDA;#CI;CI;2005;0.527416001
Netherlands;NLD;#CI;CI;2005;0.224319137
Germany;DEU;#CI;CI;2005;0.362287685
Norway;NOR;#CI;CI;2005;0.362287685
Poland;POL;#CI;CI;2005;0.527416001
Portugal;PRT;#CI;CI;2005;0.224319137
Russian Federation;RUS;#CI;CI;2005;0.811566265
Romania;ROU;#CI;CI;2005;0.362287685
Slovakia;SVK;#CI;CI;2005;0.362287685
Slovenia;SVN;#CI;CI;2005;0.527416001
Turkey;TUR;#CI;CI;2005;0.811566265
Hungary;HUN;#CI;CI;2005;0.362287685
Ukraine;UKR;#CI;CI;2005;0.527416001
Finland;FIN;#CI;CI;2005;0.224319137
France;FRA;#CI;CI;2005;0.686756053
Croatia;HRV;#CI;CI;2005;0.527416001
Czech Republic;CZE;#CI;CI;2005;0.224319137
Switzerland;CHE;#CI;CI;2005;0.224319137
Sweden;SWE;#CI;CI;2005;0.224319137
Austria;AUT;#CI;CI;2006;0.224319137
Azerbaijan;AZE;#CI;CI;2006;0.686756053
Albania;ALB;#CI;CI;2006;0.224319137
Belgium;BEL;#CI;CI;2006;0.527416001
Belarus;BLR;#CI;CI;2006;0.686756053
Bulgaria;BGR;#CI;CI;2006;0.224319137
Bosnia and Herzegovina;BIH;#CI;CI;2006;0.686756053
United Kingdom;GBR;#CI;CI;2006;0.686756053
Armenia;ARM;#CI;CI;2006;0.686756053
Greece;GRC;#CI;CI;2006;0.527416001
Georgia;GEO;#CI;CI;2006;0.686756053
Denmark;DNK;#CI;CI;2006;0.362287685
Estonia;EST;#CI;CI;2006;0.686756053
Ireland;IRL;#CI;CI;2006;0.224319137
Iceland;ISL;#CI;CI;2006;0.224319137
Spain;ESP;#CI;CI;2006;0.686756053
Italy;ITA;#CI;CI;2006;0.362287685
Cyprus;CYP;#CI;CI;2006;0.527416001
Latvia;LVA;#CI;CI;2006;0.527416001
Lithuania;LTU;#CI;CI;2006;0.224319137
